Hashtag,Post Count
burger,20602849
bestburgers,296245
cheeseburgers,312346
burgerlife,433861
burgermania,419101
burgerlovers,863580
instafood,200946249
cheeseburger,2379750
burgers,6834715
burgersofinstagram,216154
burgerlover,998698
foodie,190203966
burgerlove,886745
burgerporn,1672439
burgertime,1173690
instaburger,593579
cheese,26358742
burgeroftheday,116070
burgerandfries,227330
burgerjoint,214472
burgermeister,68323
burgerday,210462
