Hashtag,Post Count
dog,309585572
frenchbulldog,32230599
frenchiegram,4189201
pitbull,28418010
greatdane,4920675
germanshepherd,17596592
rottweiler,7582953
doberman,4885247
canecorso,3647000
puppiesofinstagram,52217443
puppy,162171945
puppies,42470059
dogsofinstagram,243087750
instadog,96848762
dogs,133311378
cute,631983525
doglover,66812587
ilovedogs,6810977
dogoftheday,61621873
pet,110962267
dogsofinsta,30124232
puppylove,67078509
dogstagram,108536982
